userId,goodsId,carId,latitude,longitude
1,38,25,28.24131,117.03545
1,26,25,28.24131,117.03545
1,55,25,28.24131,117.03545
1,22,25,28.24131,117.03545
1,47,25,28.24131,117.03545
1,41,25,28.24131,117.03545
1,42,25,28.24131,117.03545
1,52,25,28.24131,117.03545
1,49,25,28.24131,117.03545
1,23,1,23.661812,116.630076
1,54,1,23.661812,116.630076
1,33,1,23.661812,116.630076
1,32,1,23.661812,116.630076
1,42,1,23.661812,116.630076
1,41,1,23.661812,116.630076
1,55,1,23.661812,116.630076
1,29,1,23.661812,116.630076
1,27,1,23.661812,116.630076
1,30,1,23.661812,116.630076
1,47,1,23.661812,116.630076
1,40,1,23.661812,116.630076
1,53,1,23.661812,116.630076
1,22,23,27.113848,114.992039
1,33,23,27.113848,114.992039
1,20,23,27.113848,114.992039
1,46,23,27.113848,114.992039
1,50,23,27.113848,114.992039
1,25,23,27.113848,114.992039
1,32,23,27.113848,114.992039
1,34,23,27.113848,114.992039
1,41,23,27.113848,114.992039
1,44,23,27.113848,114.992039
1,35,23,27.113848,114.992039
1,54,23,27.113848,114.992039
1,36,23,27.113848,114.992039
1,21,23,27.113848,114.992039
1,45,23,27.113848,114.992039
1,27,23,27.113848,114.992039
1,25,1,24.44124,98.589434
1,51,1,24.44124,98.589434
1,44,1,24.44124,98.589434
1,32,1,24.44124,98.589434
1,28,1,24.44124,98.589434
1,39,1,24.44124,98.589434
1,22,1,24.44124,98.589434
1,53,1,24.44124,98.589434
1,54,4,37.993561,106.208254
1,35,4,37.993561,106.208254
1,26,4,37.993561,106.208254
1,21,4,37.993561,106.208254
1,56,4,37.993561,106.208254
1,28,4,37.993561,106.208254
1,41,4,37.993561,106.208254
34,35,24,40.811188,114.893782
34,54,24,40.811188,114.893782
34,26,24,40.811188,114.893782
34,41,24,40.811188,114.893782
34,25,24,40.811188,114.893782
34,48,24,40.811188,114.893782
34,20,24,40.811188,114.893782
1,20,24,29.599462,105.073056
1,54,24,29.599462,105.073056
1,29,24,29.599462,105.073056
1,24,24,29.599462,105.073056
1,30,24,29.599462,105.073056
1,41,24,29.599462,105.073056
1,31,24,29.599462,105.073056
1,25,24,29.599462,105.073056
1,52,24,29.599462,105.073056
1,40,24,29.599462,105.073056
34,52,2,23.741166,109.231817
34,37,2,23.741166,109.231817
34,30,2,23.741166,109.231817
34,49,2,23.741166,109.231817
34,28,2,23.741166,109.231817
1,33,22,30.367481,102.89916
1,43,22,30.367481,102.89916
1,38,22,30.367481,102.89916
1,55,22,30.367481,102.89916
1,23,22,30.367481,102.89916
1,31,22,30.367481,102.89916
1,26,22,30.367481,102.89916
1,28,22,30.367481,102.89916
1,48,22,30.367481,102.89916
1,21,22,30.367481,102.89916
1,44,22,30.367481,102.89916
1,36,22,30.367481,102.89916
1,30,22,30.367481,102.89916
1,29,22,30.367481,102.89916
1,45,22,30.367481,102.89916
1,40,22,30.367481,102.89916
12,54,27,25.262901,110.26092
12,51,27,25.262901,110.26092
12,42,27,25.262901,110.26092
12,33,27,25.262901,110.26092
12,48,27,25.262901,110.26092
12,30,27,25.262901,110.26092
